Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.40980029421532,72.46079905454006,71.15669665838297,72.4005355834961,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.62912999102163,72.45594269937853,71.47244650368873,71.69662475585938,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,70.81920816221287,72.3065062028637,70.56851011431775,72.26793670654297,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.27759377705218,72.53311029879856,71.708710156977,71.92807006835938,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.63155918060959,73.38643082203993,71.63155918060959,73.08511352539062,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.06136720541696,74.83032941641996,73.81067654984861,74.63748931884766,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,74.87130260503702,75.37028567561227,74.30482477296201,74.80621337890625,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.12201067519445,76.43093105955663,75.00388930942306,76.40441131591797,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.34177548655019,76.5514912091606,75.24980157927621,75.37273406982422,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.17263768221467,76.05248268254357,74.61820946436237,75.04969787597656,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.5920697800867,76.10069718746519,75.23048903454546,75.98980712890625,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.23808752279956,76.83349074089385,75.93195182564011,76.83108520507812,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.45984644857143,76.90097161406028,76.17299187168369,76.31039428710938,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,76.79493065234263,77.13481745633268,76.48879491769239,76.58280944824219,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.6358420591075,77.03116654175618,76.0886451198764,76.95162200927734,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.19749582877215,77.93993845348767,76.53941616685312,76.72985076904297,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.74113795467083,75.15333787807808,73.4924810810553,74.47357177734375,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.20992276333985,79.02950436307852,77.46988569545148,78.18340301513672,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.26741555248192,78.123153914912,76.83592703187314,78.07012176513672,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.36139664518089,77.78324080814086,74.31448034488959,74.60856628417969,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.35269537300906,75.56798119819389,72.85130652142897,74.40369415283203,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.00669833273602,77.05046575296248,75.60172957976908,76.86003112792969,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,77.98573120045752,78.28464294726993,76.88412080562057,77.48675537109375,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,77.75674147890366,78.39553270453209,77.19990767879175,78.39311981201172,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,77.89294895065062,78.141823360646,76.83704482888538,77.32754516601562,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,75.91404953407333,77.69483184814453,75.83431620420976,77.69483184814453,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,78.19016687181822,78.26265171467769,77.00861231633205,77.22607421875,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,77.67547849475221,79.06482742202022,77.67547849475221,79.05999755859375,113730400,0.0,0.0
2020-02-13 00:00:00-05:00,78.33271303943899,78.82321339617904,78.12974813739189,78.49701690673828,94747600,0.0,0.0
2020-02-14 00:00:00-05:00,78.46558778851511,78.76520890109116,78.00891869878639,78.5163345336914,80113600,0.0,0.0
2020-02-18 00:00:00-05:00,76.19913727689102,77.25987847546425,76.01791785904396,77.07865905761719,152531200,0.0,0.0
2020-02-19 00:00:00-05:00,77.32029218115534,78.4245243735885,77.32029218115534,78.19497680664062,93984000,0.0,0.0
2020-02-20 00:00:00-05:00,77.95575362250639,78.44383521283203,76.88776405995536,77.39276123046875,100566000,0.0,0.0
2020-02-21 00:00:00-05:00,76.98686488364316,77.42904453523326,75.02486319974747,75.64100646972656,129554000,0.0,0.0
2020-02-24 00:00:00-05:00,71.82572767869755,73.49777501677713,69.8854717188165,72.04801940917969,222195200,0.0,0.0
2020-02-25 00:00:00-05:00,72.71733735421887,73.09910313567873,69.13643877148064,69.60760498046875,230673600,0.0,0.0
