Tamanho de Entrada;Temp1;Tempo2;Comp1;Comp2;Mov1;Mov2
4;0;0;3;3;0;0
8;0;0;7;19545;0;0
10;23,6;0;1827358;9;3074802;0
12;0;139,6;11;12858244;0;20536288
