Tamanho de Entrada;Bolha Inteligente;Selecao;Insercao;MergeSort;QuickSort Trad.;ShellSort;HeapSort
1000;;;;;;;
10000;0,0;54,0;0,0;1,0;51,0;0,0;1,0
15000;N/A;N/A;N/A;N/A;120,0;N/A;N/A
25000;N/A;N/A;N/A;N/A;291,0;N/A;N/A
30000;N/A;N/A;N/A;N/A;405,0;N/A;N/A
50000;0,0;1206,0;0,0;4,0;N/A;2,0;8,0
75000;0,0;2823,0;0,0;7,0;N/A;3,0;8,0
100000;0,0;4628,0;0,0;9,0;N/A;N/A;14,0
