Tamanho de Entrada;Bolha Inteligente;Selecao;Insercao;MergeSort;QuickSort Trad.;ShellSort;HeapSort
1000;1,33;0,63;0,57;0,1;0,07;0,1;0,1
10000;110,8;66,63;59,8;1,4;0,83;1,5;1,37
15000;;;;;1,1;;
25000;;;;;2,0;;
30000;;;;;2,4;;
50000;5678,00;1194,77;1298,87;7,4;N/A;9,13;7,03
75000;11253,50;3459,50;3029,43;12,63;N/A;15,87;11,57
100000;18497,53;4620,87;5799,93;16,23;N/A;25,83;16,27
